STATE,count
 WI,2460
AK,49
AL,1137
AR,5080
AZ,14961
CA,158204
CO,9024
CT,14727
DC,4207
DE,5555
FL,25317
GA,31255
GU,16
HI,480
IA,4054
ID,1777
IL,43968
IN,7726
KS,2962
KY,3551
LA,3606
MA,40851
MD,11752
ME,326
MH,2
MI,19828
MN,14924
MO,9626
MS,1093
MT,163
NC,32472
ND,185
NE,3350
NE,6
NH,1525
NJ,70342
NM,712
NV,703
NY,77411
OH,22570
OK,2024
OR,7483
PA,33478
PR,32
RI,3599
SC,2854
SD,84
TC,14
TN,10180
TX,85960
UT,2502
VA,24944
VI,3
VT,176
WA,41315
WI,5311
WV,524
WY,21
